"scientific_name","rank","species_name","species_name_fishbase","genus_name","genus_name_fishbase","family_name","Adriatic_Sea","Aegean_Sea","Alboran_Sea","Ionian_Sea","Levantine_Sea","Western_Mediterranean"
"Mugil","genus",NA,NA,"Mugil","Mugil","Mugilidae",0,0,0,91,5960,135703
"Mullus","genus",NA,NA,"Mullus","Mullus","Mullidae",16,43,0,0,0,2612
"Mullus barbatus","species","Mullus barbatus","Mullus barbatus","Mullus","Mullus","Mullidae",230,3207,651,8137,0,84857
"Mullus surmuletus","species","Mullus surmuletus","Mullus surmuletus","Mullus","Mullus","Mullidae",299,541,0,3800,37,121115
"Muraena","genus",NA,NA,"Muraena","Muraena","Muraenidae",0,0,0,4941,0,8601
"Muraena helena","species","Muraena helena","Muraena helena","Muraena","Muraena","Muraenidae",4886,2555,0,108328,102,297898
"Mycteroperca","genus",NA,NA,"Mycteroperca","Mycteroperca","Serranidae",0,0,0,43,0,0
"Mycteroperca rubra","species","Mycteroperca rubra","Mycteroperca rubra","Mycteroperca","Mycteroperca","Serranidae",0,25,0,1110,1348,1109
"Myctophidae","family",NA,NA,NA,NA,"Myctophidae",0,0,213,0,0,0
"Myctophum","genus",NA,NA,"Myctophum","Myctophum","Myctophidae",0,0,4027,0,0,356
"Myctophum punctatum","species","Myctophum punctatum","Myctophum punctatum","Myctophum","Myctophum","Myctophidae",0,0,99438,0,0,40946
"Myliobatis","genus",NA,NA,"Myliobatis","Myliobatis","Myliobatidae",0,0,0,278,0,0
"Myliobatis aquila","species","Myliobatis aquila","Myliobatis aquila","Myliobatis","Myliobatis","Myliobatidae",0,0,0,28552,0,1580
"Naucrates ductor","species","Naucrates ductor","Naucrates ductor","Naucrates","Naucrates","Carangidae",0,0,0,0,0,1085
"Nemipterus randalli","species","Nemipterus randalli","Nemipterus randalli","Nemipterus","Nemipterus","Nemipteridae",0,0,0,0,3272,0
"Nerophis","genus",NA,NA,"Nerophis","Nerophis","Syngnathidae",0,0,0,0,0,24
"Nerophis maculatus","species","Nerophis maculatus","Nerophis maculatus","Nerophis","Nerophis","Syngnathidae",0,0,0,0,0,22
"Notoscopelus elongatus","species","Notoscopelus elongatus","Notoscopelus elongatus","Notoscopelus","Notoscopelus","Myctophidae",0,0,88,0,0,84
"Odondebuenia balearica","species","Odondebuenia balearica","Odondebuenia balearica","Odondebuenia","Odondebuenia","Gobiidae",323,163,0,154731,296,205829
"Oedalechilus labeo","species","Oedalechilus labeo","Oedalechilus labeo","Oedalechilus","Oedalechilus","Mugilidae",8049,1859,104,2275,2349,681043
"Oncorhynchus","genus",NA,NA,"Oncorhynchus","Oncorhynchus","Salmonidae",0,0,0,0,3987,67166
"Oncorhynchus gorbuscha","species","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Oncorhynchus","Oncorhynchus","Salmonidae",0,0,0,0,0,1716
"Ophidion","genus",NA,NA,"Ophidion","Ophidion","Ophidiidae",469,0,0,423,0,19281
"Ophidion rochei","species","Ophidion rochei","Ophidion rochei","Ophidion","Ophidion","Ophidiidae",0,0,0,0,0,10576
"Ophisurus","genus",NA,NA,"Ophisurus","Ophisurus","Ophichthidae",0,0,0,0,0,1421
"Ophisurus serpens","species","Ophisurus serpens","Ophisurus serpens","Ophisurus","Ophisurus","Ophichthidae",0,0,0,0,30,38446
"Ostorhinchus fasciatus","species","Ostorhinchus fasciatus","Ostorhinchus fasciatus","Ostorhinchus","Ostorhinchus","Apogonidae",0,0,0,0,6690,0
"Pagellus","genus",NA,NA,"Pagellus","Pagellus","Sparidae",70,0,52,1403,28,50151
"Pagellus acarne","species","Pagellus acarne","Pagellus acarne","Pagellus","Pagellus","Sparidae",586,0,5448,6903,610,118427
"Pagellus erythrinus","species","Pagellus erythrinus","Pagellus erythrinus","Pagellus","Pagellus","Sparidae",222,865,483,190520,2112,520970
"Pagrus caeruleostictus","species","Pagrus caeruleostictus","Pagrus caeruleostictus","Pagrus","Pagrus","Sparidae",0,0,0,0,39768,0
"Parablennius","genus",NA,NA,"Parablennius","Parablennius","Blenniidae",2919,4074,166,2197,0,431344
"Parablennius gattorugine","species","Parablennius gattorugine","Parablennius gattorugine","Parablennius","Parablennius","Blenniidae",404,0,0,1368,0,140417
"Parablennius incognitus","species","Parablennius incognitus","Parablennius incognitus","Parablennius","Parablennius","Blenniidae",715,0,0,304,0,197157
"Parablennius pilicornis","species","Parablennius pilicornis","Parablennius pilicornis","Parablennius","Parablennius","Blenniidae",0,0,1483,0,0,47728
"Parablennius sanguinolentus","species","Parablennius sanguinolentus","Parablennius sanguinolentus","Parablennius","Parablennius","Blenniidae",260,120,40,1999,0,56300
"Parexocoetus","genus",NA,NA,"Parexocoetus","Parexocoetus","Exocoetidae",0,0,0,0,459,0
"Parexocoetus mento","species","Parexocoetus mento","Parexocoetus mento","Parexocoetus","Parexocoetus","Exocoetidae",0,0,0,0,17588,0
"Parupeneus","genus",NA,NA,"Parupeneus","Parupeneus","Mullidae",11,12548,0,0,38251,0
"Pegusa bleekeri","species","Pegusa bleekeri","Ebosia bleekeri","Pegusa","Ebosia","Soleidae",0,0,0,0,0,241
"Pempheris vanicolensis","species","Pempheris vanicolensis","Pempheris vanicolensis","Pempheris","Pempheris","Pempheridae",0,1168,0,0,7317,0
"Pomadasys incisus","species","Pomadasys incisus","Pomadasys incisus","Pomadasys","Pomadasys","Haemulidae",0,0,0,123,1251,0
"Pomatomus saltator","species","Pomatomus saltator","Pomatomus saltatrix","Pomatomus","Pomatomus","Pomatomidae",37,0,49,1305,0,4618
"Pomatoschistus","genus",NA,NA,"Pomatoschistus","Pomatoschistus","Gobiidae",0,0,0,1466,0,18488
"Prionace glauca","species","Prionace glauca","Prionace glauca","Prionace","Prionace","Carcharhinidae",0,0,0,0,0,488
"Pseudaphya ferreri","species","Pseudaphya ferreri","Pseudaphya ferreri","Pseudaphya","Pseudaphya","Gobiidae",0,0,0,1831,0,536007
"Pseudocaranx dentex","species","Pseudocaranx dentex","Pseudocaranx dentex","Pseudocaranx","Pseudocaranx","Carangidae",0,0,0,0,3199,0
"Pterois miles","species","Pterois miles","Pterois miles","Pterois","Pterois","Scorpaenidae",0,535,0,0,12759,0
